id,formation_energy_ev_natom,bandgap_energy_ev,predict1
1,0.068,3.4387,30.5137988329
2,0.249,2.921,27.673416853
3,0.1821,2.7438,26.4142538309
4,0.2172,3.3492,29.9749301672
5,0.0505,1.3793,16.4258753657
6,0.2209,2.1633,23.1616094112
7,0.0562,0.9854,13.4710802436
8,0.2243,1.7179,19.7767941356
9,0.2193,2.6257,25.1936321259
10,0.1994,2.5187,23.0831845999
11,0.0581,3.8723,32.9324848652
12,0.259,2.8805,26.6516468525
13,0.0535,3.9039,32.1132593155
14,0.078,2.5371,25.4808014631
15,0.39,0.9251,16.3328850269
16,0.166,1.5852,19.5665613413
17,0.2544,2.2913,29.7858723402
18,0.0503,1.1844,12.5208144784
19,0.1919,2.567,26.8524008989
20,0.2063,1.5596,17.0934207439
21,0.0918,1.1365,14.6816849113
22,0.0566,3.9691,31.7989228964
23,0.2027,2.9122,27.5211713314
24,0.2753,1.1811,17.2105318904
25,0.0916,4.0371,32.5680721998
26,0.1783,3.3353,30.5624704361
27,0.3518,0.976,15.4516558647
28,0.2237,1.9672,28.0415924788
29,0.1898,1.1496,17.0576322675
30,0.2106,3.3923,30.835111618
31,0.3269,1.546,19.2536518574
32,0.2721,0.4095,8.42529559135
33,0.2342,2.1264,21.3423777819
34,0.1469,2.4457,23.6579765081
35,0.1259,1.3632,17.2218500972
36,0.1064,1.9758,21.6329935789
37,0.2341,1.9983,20.1686863303
38,0.2993,1.346,17.1204673052
39,0.366,1.3392,12.5776968598
40,0.2545,0.927,14.8338558078
41,0.1647,1.5402,18.5304329991
42,0.1573,3.4388,29.046225667
43,0.2876,2.27,23.665910244
44,0.2093,3.9989,31.1105638742
45,0.2108,2.3055,23.0823265314
46,0.0219,2.8387,26.2084531784
47,0.3124,2.0234,26.8573498726
48,0.2123,2.5317,26.3562569618
49,0.2456,0.6786,12.3948468566
50,0.2261,3.4819,28.6942329407
51,0.1608,2.5143,25.9636129141
52,0.1117,2.9429,25.4975544214
53,0.0908,0.9961,13.4916524887
54,0.385,1.2886,15.3547478914
55,0.1185,2.3298,23.863994956
56,0.0467,3.7759,30.9133349657
57,0.2358,1.7358,18.9762868285
58,0.0728,2.1497,23.118391633
59,0.0617,3.7029,30.7061549425
60,0.095,3.8226,31.3221654892
61,0.1461,1.8387,20.0112870336
62,0.1985,2.673,26.7374074459
63,0.4402,0.367,9.99559909105
64,0.2328,2.2593,22.3715102673
65,0.0614,2.4345,24.6720312834
66,0.1138,1.6944,17.6353812814
67,0.2699,1.8454,20.9948130846
68,0.2103,1.5678,20.005171001
69,0.1252,2.7433,25.6806634665
70,0.2712,2.1345,22.7655689716
71,0.2728,2.5418,19.5256990194
72,0.1432,2.9752,27.8658553362
73,0.2677,1.0205,14.4532074928
74,0.0442,4.2309,32.5609915257
75,0.2292,2.3414,22.7124311924
76,0.1649,1.6372,20.3087130785
77,0.2143,3.6242,28.6048821211
78,0.0824,1.1499,12.2341595888
79,0.2527,1.3415,22.9585638046
80,0.1756,1.6822,20.5878428221
81,0.2614,2.0137,21.9704313278
82,0.0215,2.5838,26.4264825583
83,0.28,0.9661,16.4456608891
84,0.1319,1.4285,17.2729460001
85,0.2665,2.34,24.2163778543
86,0.1104,3.4371,29.6661953926
87,0.1801,1.7088,21.1736786366
88,0.0702,3.4502,30.138050437
89,0.1357,2.3551,23.9275259972
90,0.2867,1.8095,17.8651767969
91,0.2135,2.1964,23.8050329685
92,0.1023,0.9843,13.8253722191
93,0.3764,0.9052,15.8872568011
94,0.2374,3.1829,28.2294563055
95,0.1987,2.5485,25.6520428658
96,0.1261,3.4081,30.1689343452
97,0.0,0.9166,12.9399734139
98,0.0406,2.7322,26.0761839151
99,0.1604,0.7631,10.1137440205
100,0.1064,3.2272,28.6844513416
101,0.0409,0.9133,13.257837534
102,0.1103,1.9497,21.6528238058
103,0.1022,3.6786,31.2543566227
104,0.2221,3.2429,27.4409769773
105,0.008,3.2351,28.3370883465
106,0.0254,3.1446,28.1159435511
107,0.0373,3.5738,30.7226016521
108,0.352,1.6429,20.3606512547
109,0.3011,2.0435,23.156216979
110,0.2573,2.0056,20.157679081
111,0.2297,1.8474,21.2568616867
112,0.1093,1.2062,14.8131077886
113,0.0557,2.1744,22.5927984715
114,0.1794,2.508,24.4646718502
115,0.0684,4.5094,34.9890881777
116,0.0784,1.6991,19.1336247325
117,0.402,1.1281,18.1230098009
118,0.1984,2.1189,18.566033721
119,0.1219,2.0981,19.3681845665
120,0.2107,1.8358,20.8613890409
121,0.439,1.0169,18.6917402744
122,0.2558,2.2377,24.1236941814
123,0.1466,3.475,28.6276781559
124,0.2271,1.437,17.8471912146
125,0.2077,2.3018,23.7383598089
126,0.3481,1.1339,13.8776626587
127,0.075,1.0338,12.7917295694
128,0.2583,1.6865,19.2854523659
129,0.2444,1.9135,19.2933377028
130,0.2431,2.5233,25.4426330328
131,0.2485,2.2335,22.6969404221
132,0.2402,1.6618,20.0053966641
133,0.0969,1.8691,19.6782050729
134,0.4461,0.7928,15.0452107191
135,0.2109,1.9323,21.8389635086
136,0.1231,3.3455,29.5472561121
137,0.0441,3.2971,28.5915541649
138,0.0738,5.2114,36.063406229
139,0.1206,2.3364,21.930146575
140,0.4163,2.5592,22.262347579
141,0.218,2.7698,25.5537840128
142,0.1496,1.3464,17.06942904
143,0.3581,1.2158,17.8169126511
144,0.2891,1.2056,15.3966771364
145,0.255,1.2841,16.8448242545
146,0.0747,1.0168,13.0241411924
147,0.1068,3.5451,30.0715199709
148,0.1904,2.6278,26.0710242987
149,0.0993,2.9037,27.8053851128
150,0.0977,1.0297,12.605230093
151,0.3689,1.5878,19.7146480083
152,0.1381,2.5144,26.2292126417
153,0.3341,0.9384,16.3584695458
154,0.0995,4.3239,33.3364825249
155,0.2066,3.0472,29.4277185202
156,0.0092,1.4593,16.5365263224
157,0.2358,2.0491,21.5649504662
158,0.2349,1.4018,16.6851845384
159,0.3134,1.0404,15.9599659443
160,0.0515,4.2897,33.1571784019
161,0.1379,1.7931,20.5824049711
162,0.115,1.0134,14.599588573
163,0.1194,2.6134,26.1313954592
164,0.0123,2.3529,23.7786730528
165,0.15,2.001,20.7810410261
166,0.1061,1.246,15.5777134895
167,0.3069,1.1435,20.5160850286
168,0.391,1.6526,17.5082587004
169,0.1382,2.8254,27.2095519304
170,0.0606,3.7804,31.0086987019
171,0.4439,1.6062,23.5485816002
172,0.2213,1.9578,22.7336155176
173,0.4095,0.461,10.2166574895
174,0.3317,1.4338,17.692733407
175,0.0982,0.9743,14.0336616039
176,0.0428,4.2811,32.9077020884
177,0.2187,3.2662,30.0808659792
178,0.1282,1.262,17.1653329134
179,0.3492,1.2786,19.3819605112
180,0.2757,1.8436,19.1976178885
181,0.4952,0.4109,12.9095329642
182,0.1261,1.9456,20.7107467651
183,0.1332,2.5344,25.4341784716
184,0.0254,2.4253,25.1798254251
185,0.3432,1.2053,15.6731574535
186,0.1025,1.0775,13.8946116567
187,0.0744,2.5823,25.7050464153
188,0.2135,2.2313,22.9862933159
189,0.271,1.0964,14.7564640641
190,0.3761,1.2417,14.3744735718
191,0.0352,3.1663,27.4129177332
192,0.1279,1.5455,14.4046725631
193,0.2351,1.0193,20.0204001665
194,0.0856,3.2617,29.0892393589
195,0.4327,0.6236,14.6154130697
196,0.3506,1.5498,18.3550822139
197,0.2227,1.9743,21.6762183905
198,0.2126,2.5513,23.7987408638
199,0.2042,2.6141,25.1231088638
200,0.0598,0.9677,12.859867692
201,0.1985,2.6453,26.2173196077
202,0.1848,1.0341,13.9232415557
203,0.0416,0.91,13.1660708189
204,0.2808,0.7935,13.8111074567
205,0.1848,2.1374,21.8077152967
206,0.1283,1.3027,16.614390254
207,0.0772,3.382,29.8001753092
208,0.1883,2.0563,21.1717704535
209,0.178,1.4562,18.8928208351
210,0.2289,1.8646,18.321070075
211,0.3169,1.9064,23.5302684307
212,0.1768,2.0724,21.1352105141
213,0.01,1.3425,14.7887359858
214,0.2933,1.2221,14.5096397996
215,0.2311,3.1668,28.2016773224
216,0.1818,2.3949,23.612862587
217,0.1295,3.6619,31.3025670052
218,0.0905,1.9307,21.3519645929
219,0.163,2.8518,28.422935605
220,0.2107,1.8048,20.3840676546
221,0.117,1.202,16.2988852859
222,0.3226,1.52,11.50139606
223,0.2402,1.6976,19.3603136539
224,0.1892,3.7532,30.1787880659
225,0.234,1.4131,19.0666764975
226,0.1367,1.5381,18.8237699866
227,0.1225,4.0806,32.9280443192
228,0.2054,1.8941,22.3543255329
229,0.1062,1.6909,19.737763226
230,0.1479,1.8403,21.1434470415
231,0.3452,1.4549,17.368748486
232,0.2558,0.8536,14.207746923
233,0.1098,3.1215,28.5647523403
234,0.1778,2.9986,28.5642530918
235,0.2922,0.8037,12.8296102881
236,0.2281,2.0619,22.9793937206
237,0.2364,1.9447,21.9752041101
238,0.1849,2.7164,27.8751084805
239,0.2903,3.4438,28.4361395836
240,0.2205,2.1159,23.9962898493
241,0.1818,1.1437,12.4519340992
242,0.0758,0.9439,13.4992796183
243,0.1511,2.783,25.796587348
244,0.0723,3.0501,27.0256835222
245,0.3427,0.7994,15.2680422664
246,0.1571,1.7474,19.8909558058
247,0.2971,1.9414,21.1600923538
248,0.0647,3.2502,28.9051725864
249,0.2394,1.9292,21.388478756
250,0.1396,1.3633,19.4989677072
251,0.068,3.6662,30.8758471012
252,0.294,0.2934,8.56379333138
253,0.223,1.8181,19.8507472873
254,0.057,3.3501,28.8145641088
255,0.2812,1.4181,18.5540824533
256,0.1383,1.5896,17.4308934808
257,0.103,1.0845,14.0646662116
258,0.2645,1.6502,17.7075927258
259,0.1057,3.2978,29.8698461056
