ID,NAME,Pred-Boosting,Pred-MLR,Pred-PLS,Pred-SVM,SMILES,permability,set,charge_skew,charge_kurtosis,charge_std,bond_0,bond_sum_0,bond_1,bond_sum_1,bond_2,bond_sum_2,atom_1,atom_sum_1,atom_35,atom_sum_35,atom_6,atom_sum_6,atom_7,atom_sum_7,atom_8,atom_sum_8,atom_9,atom_sum_9,atom_11,atom_sum_11,atom_15,atom_sum_15,atom_16,atom_sum_16,atom_17,atom_sum_17,atom_53,atom_sum_53,TPSA,TPSA_norm,LabuteASA,LabuteASA_norm,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,HBA,HBD,HBA_norm,HBD_norm,atom_len,atom_size
A-1,(-)-epicatechin,-5.3808940495,-5.4467409221,-5.4467409043,-5.450500991699999,O1c2c(CC(O)C1c1cc(O)c(O)cc1)c(O)cc(O)c2,-6.2199998,Tr,-1.1969783151702396,0.3769424015051017,0.23705900365081042,50.0,0.6756756756756757,24.0,0.32432432432432434,0.0,0.0,14,0.4,0,0.0,15,0.42857142857142855,0,0.0,6,0.17142857142857143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,110.38000000000001,3.153714285714286,139.76514479869408,3.9932898513912596,30.280903909336107,0.0,0.0,0.0,0.0,6.042418707663295,17.648288907023584,26.762730920693404,15.675327920141527,23.328553526801702,11.49902366656781,1.4311996572326342,5.724798628930537,0.0,42.61773091486811,7.155998286163171,0.0,0.0,18.532960955229356,0.0,41.33899652171046,0.0,28.747559166419524,0.0,4.736862953800049,38.78005726864921,6.372924901329379,0.0,29.543748015875956,30.212093538316473,0.0,0.0,0.0,0.0,28.747559166419524,0.0,0.0,0.0,0.0,111.05350751825704,0.0,0.0,0.0,3.6964924817429745,0.0,6,5,0.17142857142857143,0.14285714285714285,35,152
A-10,"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",-3.9125112152,-3.6780152849,-3.6780153226,-3.9060163334,O=C(NCC(C)C)\C=C\C=C/CCC#C\C=C/C,-3.8599999,Tr,-1.2978457148611062,4.510997901235899,0.09524854689339451,70.0,0.8974358974358975,0.0,0.0,8.0,0.10256410256410256,23,0.5609756097560976,0,0.0,16,0.3902439024390244,1,0.024390243902439025,1,0.024390243902439025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29.1,0.7097560975609757,143.2275614588349,3.4933551575325588,5.309813353288376,4.794537184071822,0.0,0.0,0.0,49.75293985644491,25.170846450023703,40.85399323040443,8.224551337021321,0.0,1.4118420783282006,5.907179729351506,0.0,0.0,36.363067498144865,0.0,5.309813353288376,5.893957685363079,33.3015261545458,6.496859684315945,36.3124304762134,0.0,11.840868637711289,5.907179729351506,5.309813353288376,12.404039413667451,4.794537184071822,17.734826323074365,63.458214390290706,36.3124304762134,1.4118420783282006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.25112086969497,0.0,0.0,0.0,-23.83445420302835,0.0,1,1,0.024390243902439025,0.024390243902439025,41,134
A-100,CNV 97104,-4.790829539700001,-4.6717370999000005,-4.6717371005,-4.7307753083,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCCC)C,-4.8600001,Tr,-1.2218589491350154,2.874469884195923,0.13978813800754786,94.0,0.7833333333333333,22.0,0.18333333333333332,4.0,0.03333333333333333,28,0.49122807017543857,0,0.0,22,0.38596491228070173,3,0.05263157894736842,3,0.05263157894736842,1,0.017543859649122806,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,65.78,1.1540350877192982,208.5035972573139,3.657957846619542,14.575817569749045,9.694446914922299,9.184952231746642,0.0,0.0,13.224817018625059,44.55236392092635,69.12989598216089,22.17015544166158,11.38067233274289,0.0,5.428790391900541,1.4311996572326342,5.969305287951849,51.30424143944983,1.4311996572326342,9.467009378641833,0.0,51.23126877660816,30.887348468114254,39.86173253485661,0.0,0.0,22.559616494716465,10.32870012275102,52.55045406331431,0.0,5.817220841045895,92.58184600062322,23.052269810213172,0.0,12.33412458931369,0.0,10.077801322358383,0.0,0.0,0.0,0.0,0.0,231.56735725400696,0.0,0.0,16.410563169636905,-44.811253756977344,0.0,6,1,0.10526315789473684,0.017543859649122806,57,214
A-101,codeine,-4.8086207506,-4.7258796527,-4.7258796311,-4.784440406,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O,-4.0900002,Tr,-2.153040199838525,4.437075737587311,0.1465867447340524,80.0,0.851063829787234,12.0,0.1276595744680851,2.0,0.02127659574468085,21,0.4883720930232558,0,0.0,18,0.4186046511627907,1,0.023255813953488372,3,0.06976744186046512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41.93000000000001,0.9751162790697676,159.46998948901944,3.708604406721382,19.482443829557788,0.0,0.0,0.0,0.0,18.146562199734426,37.82440658661724,37.96863623267893,19.374779464414566,12.160036053899976,11.49902366656781,1.4311996572326342,0.0,0.0,41.997705222111726,1.4311996572326342,4.899909730850478,5.893957685363079,36.33876879430516,20.51063904348078,35.31588389079171,0.0,11.49902366656781,0.0,9.473725907600098,50.128485144920724,11.787915370726159,5.893957685363079,44.91499900812779,24.18898090739772,0.0,0.0,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,179.67973667078172,0.0,0.0,0.0,-36.34640333744839,0.0,4,1,0.09302325581395349,0.023255813953488372,43,160
A-104,coumarin,-4.5015805217,-4.9374650248,-4.9374649988,-4.6010241583,O1c2c(C=CC1=O)cccc2,-4.25,Tr,-0.7729995984985928,1.9571581053189702,0.15514657085721345,12.0,0.3333333333333333,22.0,0.6111111111111112,2.0,0.05555555555555555,6,0.35294117647058826,0,0.0,9,0.5294117647058824,0,0.0,2,0.11764705882352941,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30.21,1.7770588235294118,71.50922957629183,4.2064252691936375,4.417150937053347,0.0,4.794537184071822,0.0,0.0,18.127256122989884,12.08483741532659,11.428642922128091,8.224551337021321,5.583020141642242,0.0,0.0,0.0,5.625586319077987,12.641702274074667,0.0,0.0,0.0,0.0,0.0,46.67463574912958,0.0,0.0,10.969244356107037,5.625586319077987,0.0,0.0,0.0,8.224551337021321,45.46620036710493,0.0,10.969244356107037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.733328609221466,0.0,0.0,4.646805555555555,6.119865835222979,0.0,2,0,0.11764705882352941,0.0,17,76
A-105,creatinine,-4.9090449373,-5.1773012618,-5.1773012572,-5.2732339149000005,O=C1NC(=N)N(C1)C,-5.935409099999998,Tr,-0.6625578760537801,-0.9807614717300885,0.18906339415071818,26.0,0.8666666666666667,0.0,0.0,4.0,0.13333333333333333,7,0.4666666666666667,0,0.0,4,0.26666666666666666,3,0.2,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,56.190000000000005,3.7460000000000004,56.935721936261494,3.7957147957507664,4.899909730850478,15.506658892433762,0.0,0.0,0.0,0.0,0.0,11.088102568792905,9.238376796656386,0.0,8.783238725400237,5.907179729351506,0.0,0.0,14.472014121579322,5.402308355073566,10.209723084138854,0.0,0.0,13.47268658459819,0.0,0.0,0.0,11.866734298095341,5.309813353288376,30.23933061354401,4.794537184071822,5.402308355073566,6.853792780851101,0.0,2.8236841566564013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.112546296296294,0.0,0.0,0.0,5.720787037037038,0.0,2,2,0.13333333333333333,0.13333333333333333,15,60
A-108,daidzein ,-4.0422469262,-3.9958227563,-3.9958227485,-4.0193810555,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,-4.6799998,Tr,-1.397754496561001,1.5297036326759166,0.19841797107263975,26.0,0.41935483870967744,34.0,0.5483870967741935,2.0,0.03225806451612903,10,0.3448275862068966,0,0.0,15,0.5172413793103449,0,0.0,4,0.13793103448275862,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,70.67,2.436896551724138,121.9480138036736,4.205103924264607,14.634767319267773,4.794537184071822,0.0,0.0,0.0,12.08483741532659,29.733126322350174,6.042418707663295,20.54498559935333,24.692016999221014,5.428790391900541,0.0,2.8623993144652684,0.0,25.60083576862953,2.8623993144652684,0.0,0.0,0.0,0.0,58.75947316445617,0.0,22.6259266499618,10.969244356107037,5.428790391900541,13.080015696679693,0.0,0.0,10.96606844936176,57.74783370960897,0.0,22.09614733950103,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,77.22818315227799,0.0,0.0,5.138551587301587,10.133265260420426,0.0,4,2,0.13793103448275862,0.06896551724137931,29,132
A-110,danazol,-4.8393928148,-4.7203032463,-4.7203032562,-4.7365249206,o1ncc2C[C@@]3([C@@H]4[C@H]([C@@H]5CC[C@@](O)(C#C)[C@]5(CC4)C)CCC3=Cc12)C,-4.8400002,Tr,-1.923802539183642,6.918014973187551,0.09389518421135604,98.0,0.8909090909090909,10.0,0.09090909090909091,2.0,0.01818181818181818,27,0.5192307692307693,0,0.0,22,0.4230769230769231,1,0.019230769230769232,2,0.038461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46.260000000000005,0.8896153846153847,187.4320421042374,3.6044623481584117,9.63190312808056,0.0,0.0,0.0,6.399401534821945,30.353986340641715,73.75940958082722,42.505888753008854,8.9144123231552,6.9718093671539085,5.760247418874442,1.4311996572326342,0.0,0.0,45.2716255885063,1.4311996572326342,5.156663257125445,28.511853994882795,63.91530935488069,0.0,23.069698651455468,0.0,12.319835853677588,6.052071746035566,0.0,17.29772191644898,6.372924901329379,40.83168984856038,98.90475501356468,16.269094677857375,0.0,6.052071746035566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.3759362758061,0.0,0.0,4.805915739618911,-70.09851868209171,0.0,3,1,0.057692307692307696,0.019230769230769232,52,182
A-111,davidigenin,-6.3478158897000005,-5.9203438313999985,-5.920343829199999,-6.4089690088,Oc1cc(O)ccc1C(=O)CCc1ccc(O)cc1,-4.7399998,Tr,-1.37545915202741,1.947082769702246,0.19382317159675067,42.0,0.6176470588235294,24.0,0.35294117647058826,2.0,0.029411764705882353,14,0.42424242424242425,0,0.0,15,0.45454545454545453,0,0.0,4,0.12121212121212122,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77.76,2.3563636363636364,130.0571448021137,3.9411256000640513,15.326424573321638,4.794537184071822,0.0,0.0,0.0,12.08483741532659,36.10605122367956,17.898377833673553,15.158761384888534,17.248535499851716,5.783244946364939,0.0,4.293598971697903,0.0,35.199305875265885,4.293598971697903,0.0,0.0,12.745849802658759,0.0,53.42383393703705,0.0,17.248535499851716,5.783244946364939,0.0,25.403268491384484,6.372924901329379,0.0,37.37270918666762,42.29693095364306,0.0,0.0,0.0,0.0,17.248535499851716,0.0,0.0,0.0,0.0,108.3930568597373,0.0,0.0,0.0,3.2736098069293655,0.0,4,3,0.12121212121212122,0.09090909090909091,33,136
A-114,dexamethasone,-5.0371115421,-4.7071396089,-4.7071396013,-4.7526037582,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,-4.829999900000002,Tr,-1.4116235234059296,2.35564511119882,0.1325363268541887,112.0,0.9333333333333333,0.0,0.0,8.0,0.06666666666666667,29,0.5087719298245614,0,0.0,22,0.38596491228070173,0,0.0,5,0.08771929824561403,1,0.017543859649122806,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94.83000000000001,1.663684210526316,204.8759408905229,3.5943147524653143,15.326424573321638,9.589074368143644,4.39041504767482,0.0,0.0,25.32896051069619,56.23565058541048,44.13910974756106,14.304569363971307,12.160036053899976,17.235249711475557,4.293598971697903,0.0,0.0,64.9456364495659,4.293598971697903,0.0,28.5118539948828,63.3972046138839,6.558985242916289,23.729319768175966,0.0,0.0,11.566489892729878,0.0,55.095327337345054,9.589074368143644,28.5118539948828,81.68709841763027,23.729319768175966,0.0,0.0,0.0,4.39041504767482,0.0,0.0,0.0,0.0,0.0,251.24676434833395,0.0,0.0,19.920382298752827,-63.66714664708688,0.0,5,3,0.08771929824561403,0.05263157894736842,57,210
