id,predict1_0.05088,predict2_0.05088,formation_energy_ev_natom,bandgap_energy_ev
53,0.0737188286148,0.666894886643,0.0908,0.9961
250,0.151543812361,0.847415294498,0.1396,1.3633
812,0.104266989045,1.44110845774,0.111,3.2201
583,0.197217916138,1.10883353651,0.2071,2.157
451,0.224243822508,1.0839041397,0.1922,2.0765
1299,0.20107479766,1.08314018324,0.2179,1.9569
952,0.200051315129,0.621377823874,0.2233,0.8877
1797,0.0711947428063,1.43305709213,0.0774,3.2055
1893,0.323933091946,1.09046684951,0.3612,1.6942
564,0.119617926888,1.06487748399,0.1052,1.9601
519,0.242717022076,0.898908678442,0.2872,1.4478
437,0.198115303181,0.596044452861,0.2229,0.7954
193,0.236810917035,0.767375286669,0.2351,1.0193
1245,0.149689473677,0.86294195056,0.0176,1.633
288,0.319500502199,0.854836925864,0.3777,1.4436
649,0.188833612949,1.11729355156,0.1985,2.1405
1781,0.257992230356,1.23522475734,0.3184,2.4325
731,0.341162573546,0.851845186204,0.4065,1.3395
897,0.22950392589,1.2127523981,0.2559,2.357
1579,0.165628639981,0.851909115911,0.1699,1.3861
520,0.108209844213,1.32486665249,0.1134,2.7543
2263,0.237324237823,1.13777268678,0.2813,2.0897
187,0.072938852245,1.26319313049,0.0744,2.5823
2305,0.233092148788,0.49144019559,0.2705,0.3717
1140,0.269318671897,0.39646541141,0.316,0.0393
1906,0.0648707386572,1.62325420231,0.0254,4.4587
1297,0.174677889794,1.07930841669,0.1888,1.8955
2147,0.0687487486284,1.3853988871,0.0737,2.9979
586,0.0397821903462,0.645648885518,0.0401,0.9142
762,0.271303940564,0.55663863942,0.2888,0.8008
1129,0.2895083474,0.538912918419,0.3526,0.7351
1612,0.320656450465,0.869728811085,0.3252,1.5105
962,0.147855472751,0.823960576206,0.1583,1.3425
689,0.254635524005,0.64333146438,0.3056,0.8366
1980,0.0706718817819,1.22724021971,0.0614,2.4501
2329,0.132572370581,1.06559968367,0.1429,1.9283
2376,0.125784653239,0.86102617532,0.1315,1.3326
1958,0.282863897271,0.942051358521,0.324,1.6883
475,0.177580842748,1.33550776541,0.1999,2.8972
721,0.238978186622,1.07337617874,0.2816,1.903
2116,0.163193605375,1.21897063032,0.2345,2.0633
1463,0.176362030208,0.834896210581,0.1833,1.3345
561,0.0655451416969,1.50183574855,0.0686,3.4592
15,0.326505260542,0.690721102059,0.39,0.9251
1499,0.21007246431,1.60686957091,0.2282,3.9921
226,0.117538346909,0.937445174903,0.1367,1.5381
1102,0.256508039311,0.388369990513,0.3115,0.4947
876,0.231016658247,0.603779412806,0.2388,0.9436
1573,0.176042268053,1.23215679079,0.1987,2.4129
189,0.234079667367,0.761044763029,0.271,1.0964
2334,0.102383191697,1.47952780873,0.114,3.3918
470,0.104919795413,1.39877429605,0.1058,3.0975
1988,0.06737412652,1.42459400743,0.0709,3.1804
1360,0.289583455771,1.2733358331,0.3431,2.8047
1602,0.201162085868,1.25985234231,0.2275,2.5166
1791,0.186703412794,1.30709518492,0.2022,2.7804
1424,0.224306287244,1.14920024201,0.2342,2.1604
1335,0.305946646258,0.876382023096,0.3486,1.1358
293,0.311200192198,0.51011223346,0.3746,0.7126
908,0.068663129583,1.48901186883,0.0697,3.3943
1060,0.112590429373,1.19627812877,0.1255,2.4302
1233,0.129768287763,1.30497917533,0.1673,2.6485
983,0.185534090735,1.38399451971,0.1739,3.0401
1175,0.262201498263,0.342771776021,0.287,0.5974
913,0.190361744724,1.01559525728,0.197,1.8097
1303,0.288191645406,0.921250395477,0.3347,1.8863
484,0.101490227971,1.33717685193,0.097,2.8337
679,0.10479571484,1.67159765959,0.0915,4.3482
197,0.196894663386,1.08325237036,0.2227,1.9743
457,0.193842914887,1.30297233909,0.2,2.8023
1723,0.290648492984,1.17002084106,0.2772,2.1178
1999,0.179852918722,1.28429865092,0.1875,2.5623
1047,0.185657300986,0.932581368834,0.1983,1.6148
690,0.0849278727546,1.46000543982,0.1016,3.3621
171,0.305537074804,0.982202570885,0.4439,1.6062
1361,0.184544499032,0.913765396923,0.2858,0.6696
21,0.0884059388191,0.754449572414,0.0918,1.1365
1188,0.227061958052,1.11828404292,0.2464,2.2573
98,0.0389340504771,1.2937226221,0.0406,2.7322
549,0.0568725254852,1.58515717089,0.0554,3.9333
827,0.174166389741,1.54510150105,0.1874,3.7011
761,0.22963052243,1.11069114506,0.2565,2.0344
625,0.100936157629,1.41611688584,0.1058,3.1047
1869,0.138078947552,1.49971571565,0.1439,3.4281
2275,0.205674010329,1.29337505251,0.2158,2.6859
963,0.237778146751,0.88951394707,0.3335,1.5575
1614,0.0852483480703,1.44842302054,0.1015,3.2051
811,0.271663556807,0.499127143994,0.287,0.5409
1289,0.134443281684,0.993693839759,0.1571,1.7197
522,0.208843095228,1.09674664214,0.2436,1.7464
286,0.281038737856,0.431285880506,0.36,0.5288
1124,0.122719299514,0.844129998237,0.1415,1.2749
1325,0.103956273291,0.68726394698,0.1023,0.9843
757,0.0485471452121,0.657631471753,0.0516,0.936
632,0.198926022276,0.991820260882,0.1912,1.7771
1092,0.189854830503,1.30799297988,0.212,2.7143
1089,0.024533243326,1.28302057832,0.0209,2.6945
