id,formation_energy_ev_natom,bandgap_energy_ev,predict1
1,0.068,3.4387,29.8279998302
2,0.249,2.921,25.4045814276
3,0.1821,2.7438,27.4249049425
4,0.2172,3.3492,29.7659212351
5,0.0505,1.3793,15.2506927252
6,0.2209,2.1633,25.0281876326
7,0.0562,0.9854,12.4166486859
8,0.2243,1.7179,18.5882027149
9,0.2193,2.6257,23.8879101276
10,0.1994,2.5187,
11,0.0581,3.8723,32.9257355928
12,0.259,2.8805,26.8967552185
13,0.0535,3.9039,31.8858132362
14,0.078,2.5371,25.0821988583
15,0.39,0.9251,16.1683027148
16,0.166,1.5852,20.5739740133
17,0.2544,2.2913,28.5242940187
18,0.0503,1.1844,13.4295708537
19,0.1919,2.567,25.5070210695
20,0.2063,1.5596,
21,0.0918,1.1365,14.790374279
22,0.0566,3.9691,32.034081459
23,0.2027,2.9122,28.6874586344
24,0.2753,1.1811,15.4917645454
25,0.0916,4.0371,32.601480484
26,0.1783,3.3353,30.479755044
27,0.3518,0.976,15.4320260882
28,0.2237,1.9672,28.1108124256
29,0.1898,1.1496,16.3570795655
30,0.2106,3.3923,
31,0.3269,1.546,16.6556510329
32,0.2721,0.4095,5.81225344539
33,0.2342,2.1264,22.511449337
34,0.1469,2.4457,24.9535708427
35,0.1259,1.3632,17.39898175
36,0.1064,1.9758,20.715030551
37,0.2341,1.9983,21.7120245695
38,0.2993,1.346,16.8848103285
39,0.366,1.3392,13.6614453197
40,0.2545,0.927,
41,0.1647,1.5402,18.2643601298
42,0.1573,3.4388,29.4471032619
43,0.2876,2.27,23.1704984903
44,0.2093,3.9989,31.1820533276
45,0.2108,2.3055,23.340937376
46,0.0219,2.8387,26.4286221266
47,0.3124,2.0234,24.7005326748
48,0.2123,2.5317,26.6659392118
49,0.2456,0.6786,13.0766762495
50,0.2261,3.4819,
51,0.1608,2.5143,25.5169913769
52,0.1117,2.9429,26.9799326658
53,0.0908,0.9961,13.6845316887
54,0.385,1.2886,17.5802388191
55,0.1185,2.3298,23.7233769894
56,0.0467,3.7759,31.0079060793
57,0.2358,1.7358,19.6018610597
58,0.0728,2.1497,23.1226141453
59,0.0617,3.7029,31.0154043436
60,0.095,3.8226,
61,0.1461,1.8387,20.7874397039
62,0.1985,2.673,26.917534709
63,0.4402,0.367,9.57313531637
64,0.2328,2.2593,20.1660433412
65,0.0614,2.4345,24.7243697643
