id,predict1_0.05029,predict2_0.05029,formation_energy_ev_natom,bandgap_energy_ev
189,0.249790792353,0.744421593845,0.271,1.0964
944,0.264821620658,0.966350961477,0.3279,1.6023
1459,0.104397674557,1.38937588781,0.1298,3.0475
486,0.102469957434,1.12611827999,0.1846,1.7484
1147,0.241377300583,0.953624390066,0.2729,1.6153
1020,0.309663698077,0.520044442266,0.3718,0.6322
1263,0.0409950839821,0.689848609269,0.0405,1.0229
563,0.141053772066,1.24604342878,0.132,2.5282
1420,0.271282308735,1.04437797889,0.3075,2.1483
2276,0.267279680818,1.35637578368,0.3428,3.116
2372,0.15819348814,1.39085089043,0.2159,4.1785
1551,0.341925863177,0.879884261638,0.3958,1.2782
690,0.0879077152349,1.4557498917,0.1016,3.3621
243,0.191540766507,1.29994961619,0.1511,2.783
1229,0.184921156615,1.15619372204,0.1502,2.4098
1493,0.244956462644,0.767300382257,0.2634,1.1712
587,0.178619790822,1.07991785184,0.2096,1.8456
480,0.10249980865,0.693690154701,0.1007,0.9788
1538,0.152603825554,0.867999218404,0.171,1.436
760,0.0826277881861,1.46931048483,0.0816,3.3811
636,0.0791239058599,1.67925175279,0.0846,4.2465
976,0.101315764245,1.5275510028,0.0958,3.7442
464,0.223979464732,1.03785680234,0.2698,1.6084
2260,0.0502976502758,0.994873657823,0.0885,1.6474
1999,0.182021930814,1.28547739238,0.1875,2.5623
1603,0.239802098833,0.977915938944,0.2162,1.6984
2167,0.215412607417,1.18338662013,0.2373,2.3311
1372,0.259535656311,1.06454139948,0.257,1.9608
1561,0.144273253158,0.811287142336,0.1518,1.2279
266,0.319076380692,1.1109066084,0.3349,2.0738
58,0.0911465990357,1.15035038441,0.0728,2.1497
1191,0.129505269695,1.47618692368,0.1275,3.534
2137,0.270483147353,0.492165314034,0.2422,0.904
2141,0.0577961103991,1.27175204456,0.0644,2.555
2221,0.167850119993,1.28118862957,0.1828,2.6664
1566,0.320094911382,0.627885699272,0.397,0.9518
1041,0.135745667387,1.16916550696,0.1451,2.3434
617,0.215820856392,0.849643256515,0.2615,1.3238
643,0.100030978676,0.692144006491,0.1087,1.011
215,0.211690708995,1.40888500959,0.2311,3.1668
1713,0.201226284727,1.22714584693,0.2332,2.3356
2350,0.238987399265,1.10542087629,0.2638,1.7633
214,0.239290003665,0.660662194714,0.2933,1.2221
1393,0.0954892341979,1.20429298282,0.0851,2.322
1485,0.135285370983,1.42577235401,0.1407,3.0664
224,0.183480320498,1.56684514135,0.1892,3.7532
1932,0.192908617668,1.27567123622,0.2199,2.6423
40,0.27243431285,0.614184714854,0.2545,0.927
154,0.0883475919254,1.67394561321,0.0995,4.3239
444,0.137700355612,1.30915712565,0.1396,2.74
1165,0.191066013649,0.886338975281,0.2055,1.3445
1693,0.159537935164,1.35915185511,0.167,2.9888
2243,0.281700448133,1.14823647216,0.297,1.7342
2250,0.249555695802,0.62917608209,0.2787,0.857
1475,0.0869800765067,0.694300763309,0.0841,1.0585
1257,0.156238685828,1.16374141723,0.2402,1.3953
1335,0.290559737012,0.882235493511,0.3486,1.1358
951,0.12608688185,0.731669168919,0.1323,1.1142
1898,0.288995875977,0.71812300384,0.2983,1.0943
2392,0.218067865819,0.553431298584,0.3002,0.7521
1429,0.0704230412375,1.48386381567,0.0772,3.3824
873,0.201512655243,1.10943119228,0.2326,1.9837
1700,0.0636628197972,1.49624022841,0.0664,3.49
735,0.18457933981,0.840346209705,0.1922,1.4373
1654,0.0641912345309,1.4952750653,0.0682,3.4672
546,0.267551278695,0.882925637066,0.3921,0.6571
1291,0.133576738182,0.783463578671,0.1439,1.2072
1974,0.156190225389,1.17591974512,0.1503,2.2665
953,0.328502431512,0.872514493763,0.3779,1.309
1011,0.215330734849,0.823286555707,0.2805,1.1634
938,0.265370503068,0.63446255587,0.2804,0.6576
1007,0.145066714846,0.802426669747,0.1582,1.228
1141,0.119775108993,0.980309527367,0.1362,1.6288
975,0.050393481506,0.796689622104,0.0673,1.0984
2066,0.0782925165258,0.761877119541,0.0619,1.2208
1418,0.119847056922,1.38877848536,0.1025,3.0526
1333,0.119806083385,1.03591833264,0.1576,1.8893
1267,0.113247676753,0.92858550325,0.1357,1.5152
783,0.0952434139326,1.47694443166,0.1056,3.3241
704,0.256316291168,0.335968099535,0.2662,0.4244
793,0.13691954501,1.05456815287,0.1533,1.5863
1572,0.118325015996,1.07506680861,0.1248,1.9408
1173,0.264923956245,0.518438074738,0.2809,0.7709
2349,0.117241898086,0.807672925293,0.1408,1.1986
1426,0.299931888469,0.701761417091,0.3465,1.0908
1352,0.116388145369,0.793494790792,0.1217,1.2103
255,0.255698664114,0.903476268053,0.2812,1.4181
29,0.157765817363,0.788034342229,0.1898,1.1496
161,0.116939318832,1.02415459231,0.1379,1.7931
