id,predict1_0.05141,predict2_0.05141,formation_energy_ev_natom,bandgap_energy_ev
1033,0.19282781519,1.31208728999,0.2258,2.4391
1536,0.286105583422,1.0077944994,0.3431,1.5373
1634,0.224035522901,0.730885315686,0.2327,0.9877
133,0.148145896848,1.08222293854,0.0969,1.8691
1832,0.249415930361,0.819185528904,0.3379,0.7999
531,0.130767662544,1.32078125328,0.0875,2.9651
949,0.119226031471,0.694088064134,0.122,0.9547
386,0.113049453124,0.787475641817,0.1203,1.2087
1871,0.120605473407,1.32791473716,0.0843,2.9803
1826,0.0375381987542,1.69408596307,0.0408,4.4323
622,0.227831143886,1.24757058918,0.2689,2.388
1776,0.207148043439,1.01741132513,0.224,1.8113
1539,0.33180712536,1.00352826342,0.4109,1.2482
1706,0.196078548208,1.35168360919,0.2303,2.8447
2393,0.193193204701,0.938183192164,0.202,1.6728
1366,0.187946628779,1.03448988497,0.2002,2.064
563,0.143909243867,1.24495340139,0.132,2.5282
130,0.196278716438,1.25657750666,0.2431,2.5233
229,0.101115970407,0.990967966616,0.1062,1.6909
576,0.0951099456288,0.693582333624,0.1077,1.0129
1241,0.114341220818,1.43761658669,0.1097,3.6232
31,0.286180940457,0.842176400125,0.3269,1.546
1174,0.0296233547851,1.29531994462,0.0271,2.5554
13,0.0557313186582,1.58764825761,0.0535,3.9039
2192,0.0700423913077,1.45156148076,0.075,3.1998
1510,0.0509794189129,1.68227535486,0.0569,4.2993
601,0.0627704127692,0.665986202657,0.0637,0.9547
1294,0.128230232745,0.992694683373,0.1264,1.786
1956,0.105679971166,1.54642545432,0.1066,3.7308
1978,0.0397500500549,1.66545984149,0.0406,4.2602
458,0.0660705985501,1.44781602174,0.0647,3.2712
920,0.207466971129,1.03324181959,0.1948,1.9156
594,0.280709244311,0.93821483478,0.3596,1.6946
1726,0.103105174378,1.34220696986,0.1115,2.8399
1587,0.079304631101,1.52432525158,0.0828,3.5728
1672,0.112515759189,1.49206679314,0.1073,3.5584
1302,0.228490107693,0.905752521008,0.2788,1.5425
2209,0.331893455237,1.10515084863,0.412,2.3208
2296,0.210827738978,1.03323565796,0.2261,1.833
2022,0.270038286224,0.834029011428,0.3512,1.0602
2109,0.310946249403,0.844229400158,0.4506,1.6039
999,0.181031376123,0.891474701464,0.1947,1.5464
1970,0.0424132153857,1.67346546054,0.0393,4.2051
1335,0.28999062255,0.889480795711,0.3486,1.1358
903,0.0991861401126,0.725324567407,0.0973,1.1019
1885,0.076269522775,0.675291858613,0.0882,0.9729
696,0.216562964022,0.884230442345,0.1889,1.6792
225,0.204241179861,0.901255402714,0.234,1.4131
2394,0.137179167476,1.38775292784,0.127,3.0281
2224,0.176954420283,0.828819599003,0.1993,1.2931
580,0.125082185026,1.00564871356,0.1325,1.701
1352,0.112214504741,0.796580091119,0.1217,1.2103
2226,0.030893053161,0.961569331586,0.023,1.5788
27,0.299758621491,0.744069475681,0.3518,0.976
498,0.126361971721,1.22510153055,0.1496,2.3682
2319,0.269150011241,0.681996196508,0.2844,1.4376
1455,0.209556133486,1.19826990366,0.2448,2.2389
1437,0.26809710823,1.20116484538,0.2538,2.8902
1279,0.0297333465423,1.43992650509,0.0348,3.2435
1258,0.251582151279,0.322500794195,0.2309,0.3031
1872,0.120152704418,1.28017771989,0.1364,2.6141
117,0.327449327335,0.754324615002,0.402,1.1281
1602,0.195678312331,1.25244642049,0.2275,2.5166
1903,0.143976407126,1.04361715168,0.1685,1.7993
1589,0.105535164475,0.912401188165,0.0914,1.5002
111,0.179371861741,1.06936033443,0.2297,1.8474
884,0.279146404006,0.679813433439,0.3298,0.9754
785,0.142861795146,1.66411013156,0.1351,4.3363
2328,0.0871866869275,1.69064974785,0.0892,4.2214
844,0.199638754129,0.926851715893,0.2285,1.5529
1944,0.0374449786032,1.10220030695,0.0,1.9959
848,0.0999788548797,0.793704684824,0.0921,1.1557
1338,0.195744547993,1.20591637865,0.1983,2.6087
87,0.14684447553,1.06874996051,0.1801,1.7088
