id,formation_energy_ev_natom,bandgap_energy_ev,predict1
1,0.068,3.4387,29.8597061634
2,0.249,2.921,26.4145853519
3,0.1821,2.7438,25.7724553347
4,0.2172,3.3492,28.5133142471
5,0.0505,1.3793,14.4438935518
6,0.2209,2.1633,23.4299896955
7,0.0562,0.9854,12.9903766513
8,0.2243,1.7179,19.3565151691
9,0.2193,2.6257,25.0644392967
10,0.1994,2.5187,25.1481218338
11,0.0581,3.8723,31.835521698
12,0.259,2.8805,26.7346940041
13,0.0535,3.9039,31.8380799294
14,0.078,2.5371,24.9282776117
15,0.39,0.9251,16.0000000596
16,0.166,1.5852,20.8759332895
17,0.2544,2.2913,28.4676721096
18,0.0503,1.1844,14.1697591543
19,0.1919,2.567,25.7857137918
20,0.2063,1.5596,16.6527388096
21,0.0918,1.1365,14.6080721021
22,0.0566,3.9691,31.9292291403
23,0.2027,2.9122,27.6611026525
24,0.2753,1.1811,16.3624007702
25,0.0916,4.0371,31.6139005423
26,0.1783,3.3353,30.9061114788
27,0.3518,0.976,13.9594560862
28,0.2237,1.9672,26.9337418079
29,0.1898,1.1496,17.2249758244
30,0.2106,3.3923,30.0795998573
31,0.3269,1.546,18.1524943113
32,0.2721,0.4095,7.89390820265
33,0.2342,2.1264,22.9388666153
34,0.1469,2.4457,24.0591294765
35,0.1259,1.3632,17.0747673512
36,0.1064,1.9758,21.8255139589
37,0.2341,1.9983,20.4411826134
38,0.2993,1.346,16.6965010762
39,0.366,1.3392,13.6359389424
40,0.2545,0.927,14.7086277604
41,0.1647,1.5402,19.0124831796
42,0.1573,3.4388,28.7649599314
43,0.2876,2.27,23.5038980246
44,0.2093,3.9989,31.1612826586
45,0.2108,2.3055,23.0729640722
46,0.0219,2.8387,26.83347857
47,0.3124,2.0234,25.4573814869
48,0.2123,2.5317,26.4585551023
49,0.2456,0.6786,10.7065276504
50,0.2261,3.4819,28.3225352764
51,0.1608,2.5143,25.2141506672
52,0.1117,2.9429,26.4602950811
53,0.0908,0.9961,13.3219878078
54,0.385,1.2886,15.7724199295
55,0.1185,2.3298,23.2608460188
56,0.0467,3.7759,31.1450555325
57,0.2358,1.7358,19.8932218552
58,0.0728,2.1497,23.5175046921
59,0.0617,3.7029,31.4277180433
60,0.095,3.8226,32.192808032
61,0.1461,1.8387,21.4964469671
62,0.1985,2.673,26.7950775623
63,0.4402,0.367,9.01421666145
64,0.2328,2.2593,19.4634491801
65,0.0614,2.4345,25.0612814426
66,0.1138,1.6944,20.4697679281
67,0.2699,1.8454,20.6151968241
68,0.2103,1.5678,18.9962983131
69,0.1252,2.7433,24.9096260071
70,0.2712,2.1345,23.179877758
71,0.2728,2.5418,20.4395956993
72,0.1432,2.9752,27.9474579096
73,0.2677,1.0205,14.9596228004
74,0.0442,4.2309,32.9206211567
75,0.2292,2.3414,23.7155067921
76,0.1649,1.6372,19.9454146028
77,0.2143,3.6242,29.0652610064
78,0.0824,1.1499,14.1395323873
79,0.2527,1.3415,22.5813074112
80,0.1756,1.6822,20.6335669756
81,0.2614,2.0137,22.161555171
82,0.0215,2.5838,25.4725122452
83,0.28,0.9661,14.1156237721
84,0.1319,1.4285,17.8550547957
85,0.2665,2.34,24.0047087669
86,0.1104,3.4371,30.3736767769
87,0.1801,1.7088,20.6878910065
88,0.0702,3.4502,30.0737229586
89,0.1357,2.3551,24.1260902882
90,0.2867,1.8095,19.2185773849
91,0.2135,2.1964,23.9436297417
92,0.1023,0.9843,14.4284917712
93,0.3764,0.9052,18.1382104754
94,0.2374,3.1829,28.1856176853
95,0.1987,2.5485,25.0715723038
96,0.1261,3.4081,29.2445657253
97,0.0,0.9166,12.4536856413
98,0.0406,2.7322,25.6346031427
99,0.1604,0.7631,9.38835993409
100,0.1064,3.2272,29.1229673624
101,0.0409,0.9133,13.0792606473
102,0.1103,1.9497,21.8296204805
103,0.1022,3.6786,30.1188099384
104,0.2221,3.2429,29.6569619179
105,0.008,3.2351,28.488855958
106,0.0254,3.1446,28.2699848413
107,0.0373,3.5738,30.2975184917
108,0.352,1.6429,20.2583501339
109,0.3011,2.0435,22.9644209146
110,0.2573,2.0056,21.0632437468
111,0.2297,1.8474,21.7228616476
112,0.1093,1.2062,14.1299449205
113,0.0557,2.1744,22.9530540705
114,0.1794,2.508,24.0770390034
115,0.0684,4.5094,34.2437148094
116,0.0784,1.6991,19.6926376224
117,0.402,1.1281,18.2692453861
118,0.1984,2.1189,19.803153038
119,0.1219,2.0981,21.1637257338
120,0.2107,1.8358,19.6848959923
121,0.439,1.0169,14.0294037461
122,0.2558,2.2377,22.1615916491
123,0.1466,3.475,30.2317800522
124,0.2271,1.437,18.5136008263
125,0.2077,2.3018,23.0673540831
126,0.3481,1.1339,12.4507486224
127,0.075,1.0338,13.9370952845
128,0.2583,1.6865,20.7950235605
129,0.2444,1.9135,19.3331550956
130,0.2431,2.5233,25.3313630819
131,0.2485,2.2335,23.6367081404
132,0.2402,1.6618,19.2941023707
133,0.0969,1.8691,21.2240159512
134,0.4461,0.7928,15.2801553011
135,0.2109,1.9323,20.8744360209
136,0.1231,3.3455,29.5796519518
137,0.0441,3.2971,29.4097685814
138,0.0738,5.2114,36.1148616076
